date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight,lost weight
2019-02-24,653.275,18.725,6.375,0.675,4.45,0,41.625,482.775,336.975,78.725,2.7,31.375,41.625,50.6,70.7,27.7,44.225,247,No
2019-02-25,367.8,16.3,5.375,1.825,4.375,0.025,160.625,348.425,204.25,11.65,2.9,3.375,43.075,8.025,4.225,7,9.925,246.8,Yes
2019-02-26,528.05,21.025,7.175,1.35,3.2,0,67.375,577.675,303.075,35.275,4.775,11.35,50.9,9.05,11.225,12.65,16.325,245,Yes
2019-02-27,534.575,18.225,8.8,0,0.325,0.025,62.5,636.95,97.5,35.575,2.475,18.2,54.375,10.5,15,20.55,9.3,244,Yes
2019-02-28,527.325,17.7,6.3,1.7,4.65,0.025,87.65,407,368.575,35.925,4.75,16.575,51.975,21.875,20.475,16.15,15.125,244,No
2019-03-01,618.5,35.075,6.75,1.325,2.825,0,88.7,818.75,292.5,76.625,1.575,38.25,43.375,4.75,6.25,25,7.75,245,No
2019-03-02,531.5,18,6.2,0.5,1.5,0,45,850,25,44,1.9,10.5,48.5,2,1,10,4,245.4,No
2019-03-03,569.45,22.575,5.95,1.325,3,0,53.9,609.225,169.35,38.125,2.25,13.925,52.675,8.45,21.175,65.775,11.375,246.4,No
2019-03-04,586.05,19.275,8.7,0.85,3.075,0,52.625,486.3,258.95,48.7,4.275,25.75,53.35,14.45,21.15,23.4,27.7,247,No
2019-03-05,514.7,19.425,6.25,0.85,2.7,0,75,612.55,194.325,33.5,1.875,16.975,50.4,2.3,2.05,18.9,24.975,244.8,Yes
2019-03-06,471.625,13.2,7.15,0.725,1.95,0.025,196.125,586.25,180.875,32.225,0.75,17.375,53.875,14.15,9.7,16.85,28.525,242.6,Yes
2019-03-07,547.65,24.025,10.75,1.4,3.825,0.025,204.375,558.4,203.725,30.55,2.7,10.925,51.6,11.8,7.25,11.8,23.375,243.6,No
2019-03-08,542.9,22.875,6.125,0,0.325,0,133.625,864.125,285.625,43.925,3.15,12.5,40.375,7.125,6.25,8.725,19.125,243.2,Yes
2019-03-09,456.375,13.575,4.3,1.225,2.2,0.025,178.875,496.25,156.25,31.775,1,13.275,51.2,9.3,0.25,65.1,13.15,240.4,Yes
2019-03-11,461.875,13.375,4.975,1.1,2.875,0,30.25,398.3,123.45,35.6,3.9,12.7,48.275,5.9,13.3,12.4,16.325,242.4,No
2019-03-12,471.875,11.95,4.675,0,0.375,0,41.5,447.75,62.75,32.6,2.4,6.9,55.45,5.4,6.55,16,12.4,242,Yes
2019-03-13,492.25,14.45,3.825,0,0.375,0,56.5,580.25,188.5,37.175,2.875,20.65,54.075,8.4,12.8,67.25,14.5,239.2527021,Yes
2019-03-14,367.6,12.15,3.1,0,0,0,93.8,285,225,11.25,3,5,56.65,13.95,15.45,32.45,22.85,239.9183038,No
2019-03-15,583.95,29,8.55,1.45,2.75,0.05,460.75,998.75,912,17.1,0.7,9.55,59.75,8.1,0,8.3,27.85,238.5898312,Yes
2019-03-18,447.45,8.35,4.275,0.275,1.075,0,39.375,331.7,226.2,38.275,1.45,20.25,52.65,67.7,14.825,16.775,14.775,240.2630731,No
2019-03-19,342.2,7.525,3.1,0,0.325,0.025,30.5,425.775,74,25.925,1.25,7.8,41.65,13.4,13.35,6.875,13.5,240.4,No
2019-03-20,462.125,14.55,5.675,0.975,2.65,0.025,184,500.25,158.75,31.925,1.65,12.1,49.975,18.75,13.4,13.1,24.9,239.4,Yes
